duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,attack_category,difficulty_level
59,tcp,other,SF,48634,21689,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,59,109,0.0,0.0,0.01,0.04,0.76,0.14,0.28,129,106,0.66,0.01,0.69,0.19,0.04,0.04,0.01,0.0,normal,Normal,15
9,udp,ssh,SF,256,99,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,4,184,0.21,0.24,0.39,0.58,0.15,0.51,0.04,180,210,0.96,0.07,0.15,0.2,0.48,0.47,0.64,0.8,probe,Probe,5
6,udp,ftp_data,S0,18940,4893,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,91,69,0.02,0.01,0.03,0.04,0.86,0.11,0.03,172,102,0.2,0.14,0.81,0.05,0.01,0.03,0.04,0.01,normal,Normal,20
70,udp,ftp,SF,45978,6871,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29,137,0.05,0.03,0.01,0.01,0.83,0.13,0.26,187,146,0.74,0.08,0.66,0.16,0.04,0.01,0.02,0.03,normal,Normal,16
36,tcp,http,SF,3077,6190,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,7,44,0.02,0.01,0.03,0.04,0.79,0.13,0.29,135,23,0.59,0.15,0.57,0.1,0.0,0.03,0.0,0.05,normal,Normal,20
2,tcp,telnet,RSTR,20,15,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,318,158,0.99,0.92,0.07,0.09,0.9,0.14,0.22,234,51,0.79,0.11,0.85,0.29,0.84,0.95,0.08,0.03,dos,DoS,15
89,udp,http,SF,44222,4710,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,78,14,0.01,0.03,0.02,0.05,0.98,0.0,0.04,17,147,0.9,0.16,0.91,0.09,0.01,0.03,0.01,0.04,normal,Normal,2
16,udp,smtp,RSTR,49251,31370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,132,0.01,0.02,0.04,0.02,0.98,0.18,0.14,67,78,0.44,0.03,0.93,0.06,0.03,0.01,0.01,0.01,normal,Normal,19
25,tcp,smtp,REJ,5339,48996,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,18,152,0.01,0.01,0.01,0.0,0.96,0.14,0.3,81,79,0.24,0.01,0.5,0.04,0.03,0.0,0.02,0.03,normal,Normal,7
4746,udp,ssh,RSTR,3217,65072,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,20,198,0.02,0.03,0.05,0.03,0.5,0.17,0.21,80,232,0.82,0.11,0.66,0.05,0.07,0.03,0.04,0.07,r2l,R2L,18
13,icmp,pop3,SF,377,31,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,9,85,0.39,0.35,0.75,0.32,0.18,0.68,0.3,90,219,0.41,0.16,0.42,0.09,0.12,0.14,0.34,0.8,probe,Probe,12
1,icmp,telnet,S0,60,42,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,359,82,0.84,0.85,0.01,0.04,0.98,0.18,0.21,24,177,0.92,0.15,0.52,0.19,0.81,0.94,0.02,0.09,dos,DoS,20
64,tcp,ftp,SF,13951,40599,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,33,14,0.03,0.01,0.05,0.0,0.92,0.15,0.21,110,164,0.53,0.11,0.33,0.12,0.01,0.05,0.04,0.04,normal,Normal,14
18,tcp,ssh,SF,22200,32796,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,30,170,0.05,0.01,0.04,0.04,0.95,0.02,0.28,150,91,0.28,0.14,0.06,0.23,0.03,0.04,0.04,0.02,normal,Normal,4
44,tcp,ftp,SF,30675,18506,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,2,154,0.03,0.05,0.04,0.01,0.7,0.03,0.04,60,51,0.41,0.19,0.05,0.19,0.03,0.02,0.01,0.04,normal,Normal,7
47,tcp,pop3,SF,47329,42725,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,61,188,0.02,0.02,0.02,0.04,0.84,0.19,0.02,92,181,0.92,0.02,0.98,0.22,0.0,0.04,0.03,0.05,normal,Normal,14
44,udp,pop3,SF,10324,14919,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,46,197,0.05,0.03,0.03,0.01,0.94,0.15,0.1,26,38,0.3,0.16,0.61,0.26,0.02,0.01,0.0,0.0,normal,Normal,3
3,tcp,http,S0,863,86,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,439,69,0.73,0.96,0.05,0.07,0.95,0.0,0.01,234,68,0.78,0.0,0.41,0.24,0.76,0.96,0.02,0.07,dos,DoS,20
65,tcp,dns,SF,9722,15476,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,16,158,0.04,0.05,0.0,0.01,0.84,0.18,0.08,158,197,0.61,0.0,0.06,0.29,0.03,0.01,0.01,0.01,normal,Normal,10
1804,udp,http,REJ,1870,53995,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,16,12,0.09,0.07,0.07,0.02,0.71,0.0,0.14,239,48,0.77,0.05,0.5,0.29,0.04,0.08,0.02,0.06,r2l,R2L,6
11,tcp,other,SF,49638,20113,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,88,141,0.05,0.0,0.02,0.02,0.8,0.18,0.27,47,151,0.93,0.09,0.9,0.25,0.05,0.01,0.05,0.04,normal,Normal,13
29,tcp,other,SF,5593,24131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,64,0.01,0.02,0.04,0.04,0.83,0.17,0.04,226,146,0.18,0.05,0.03,0.23,0.0,0.01,0.01,0.03,normal,Normal,9
8,tcp,ftp,S3,356,92,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,17,173,0.5,0.2,0.64,0.37,0.24,0.64,0.08,169,159,0.23,0.19,0.86,0.29,0.24,0.19,0.78,0.57,probe,Probe,7
41,udp,smtp,OTH,22502,46617,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,122,0.02,0.02,0.02,0.02,0.72,0.1,0.01,99,201,0.23,0.11,0.56,0.16,0.02,0.02,0.02,0.04,normal,Normal,18
1,tcp,telnet,S0,858,6,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,322,2,0.89,0.82,0.09,0.02,0.98,0.04,0.1,25,36,0.81,0.1,0.3,0.23,0.77,0.93,0.06,0.03,dos,DoS,20
16,tcp,other,SF,337,306,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,9,113,0.36,0.21,0.5,0.78,0.38,0.79,0.07,174,82,0.85,0.09,0.19,0.17,0.2,0.25,0.52,0.42,probe,Probe,18
84,tcp,telnet,SF,39841,14765,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,85,137,0.02,0.03,0.04,0.0,0.88,0.09,0.14,104,141,0.43,0.01,0.65,0.2,0.02,0.01,0.02,0.04,normal,Normal,20
31,tcp,nntp,SF,8401,4397,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,82,30,0.03,0.04,0.03,0.04,0.95,0.18,0.09,135,186,0.65,0.11,0.21,0.16,0.04,0.02,0.05,0.03,normal,Normal,15
0,udp,http,SF,34730,27870,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,136,0.03,0.03,0.02,0.03,0.99,0.1,0.09,78,67,0.73,0.12,0.93,0.18,0.03,0.05,0.0,0.02,normal,Normal,11
96,tcp,nntp,SF,48802,35529,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,85,166,0.04,0.03,0.03,0.04,0.76,0.02,0.21,220,28,0.57,0.12,0.02,0.17,0.01,0.04,0.01,0.01,normal,Normal,16
3,tcp,pop3,S0,564,4,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,308,137,0.92,0.84,0.06,0.0,0.96,0.14,0.13,56,202,0.53,0.11,0.23,0.04,0.99,0.77,0.01,0.08,dos,DoS,20
75,udp,ftp,SF,21661,2879,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,10,12,0.0,0.03,0.0,0.04,0.72,0.05,0.25,220,114,0.24,0.19,0.74,0.17,0.03,0.04,0.01,0.05,normal,Normal,20
61,tcp,ssh,REJ,39711,18312,0,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,96,28,0.0,0.0,0.04,0.01,0.73,0.13,0.2,139,132,0.31,0.03,0.31,0.23,0.02,0.04,0.05,0.04,normal,Normal,18
71,icmp,http,SF,49128,18016,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,93,183,0.03,0.02,0.04,0.03,0.87,0.17,0.07,247,52,0.98,0.14,0.54,0.03,0.04,0.03,0.04,0.01,normal,Normal,15
7,udp,http,SF,404,397,0,0,0,8,0,1,2,0,0,0,0,0,0,0,0,0,36,189,0.11,0.36,0.57,0.56,0.17,0.98,0.26,29,236,0.27,0.04,0.75,0.01,0.14,0.26,0.58,0.61,probe,Probe,2
37,icmp,ftp_data,SF,29945,28777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,104,0.0,0.0,0.04,0.02,0.72,0.07,0.24,219,47,0.57,0.07,0.4,0.24,0.01,0.02,0.01,0.03,normal,Normal,13
4,tcp,pop3,SF,66,92,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,443,24,0.87,0.89,0.01,0.07,0.95,0.07,0.07,145,86,0.46,0.01,0.56,0.11,0.98,0.85,0.09,0.04,dos,DoS,4
2,udp,http,SF,8530,48622,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,86,81,0.03,0.01,0.01,0.01,0.71,0.15,0.23,37,180,0.92,0.06,0.09,0.02,0.05,0.02,0.02,0.01,normal,Normal,2
55,tcp,nntp,SF,37969,40531,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,18,81,0.01,0.03,0.02,0.05,0.72,0.1,0.17,13,192,0.94,0.03,0.52,0.09,0.02,0.05,0.02,0.02,normal,Normal,4
34,tcp,telnet,SF,1220,41804,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,149,0.0,0.03,0.04,0.01,0.87,0.07,0.03,230,110,0.61,0.04,0.18,0.2,0.03,0.03,0.05,0.01,normal,Normal,3
20,icmp,ssh,S0,46706,35773,0,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,40,170,0.04,0.01,0.02,0.03,0.97,0.11,0.0,86,233,0.93,0.08,0.62,0.26,0.01,0.02,0.02,0.03,normal,Normal,6
2086,udp,pop3,SF,2301,61714,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,13,138,0.07,0.09,0.05,0.0,0.5,0.11,0.19,69,225,0.39,0.15,0.14,0.17,0.03,0.1,0.05,0.06,r2l,R2L,16
2,tcp,ftp_data,S0,405,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,453,129,0.73,1.0,0.08,0.02,0.93,0.17,0.21,29,153,0.84,0.15,0.87,0.04,0.87,0.92,0.02,0.01,dos,DoS,1
3,icmp,ftp_data,REJ,402,47,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,233,195,0.93,0.9,0.04,0.05,0.98,0.13,0.12,242,249,0.96,0.12,0.16,0.04,0.93,0.84,0.04,0.06,dos,DoS,2
3652,udp,smtp,SF,9759,6884,0,0,0,5,1,1,0,1,1,3,0,0,0,0,0,0,5,195,0.05,0.04,0.02,0.03,0.72,0.09,0.28,95,189,0.12,0.05,0.38,0.14,0.04,0.04,0.04,0.04,u2r,U2R,19
50,udp,http,RSTO,43657,42760,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,88,90,0.0,0.02,0.05,0.01,0.85,0.17,0.0,205,188,0.44,0.14,0.84,0.09,0.02,0.03,0.02,0.04,normal,Normal,5
31,udp,telnet,SF,3044,26361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,182,0.02,0.05,0.01,0.05,0.76,0.14,0.02,16,131,1.0,0.06,0.79,0.17,0.01,0.04,0.02,0.02,normal,Normal,19
2,icmp,dns,S0,886,30,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,322,186,0.98,0.89,0.0,0.05,0.99,0.0,0.23,234,205,0.36,0.0,0.05,0.04,0.95,0.92,0.06,0.04,dos,DoS,10
3,udp,ssh,S0,764,37,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,215,7,0.75,0.82,0.09,0.1,0.96,0.1,0.03,65,245,0.18,0.03,0.81,0.02,0.8,0.75,0.1,0.06,dos,DoS,7
47,tcp,nntp,SF,48220,21410,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,29,64,0.04,0.0,0.01,0.01,0.99,0.2,0.15,221,210,0.82,0.02,0.65,0.01,0.04,0.0,0.03,0.04,normal,Normal,6
38,udp,nntp,SF,23530,6686,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,94,72,0.04,0.01,0.01,0.03,0.87,0.1,0.27,159,96,0.37,0.08,0.07,0.05,0.04,0.04,0.03,0.03,normal,Normal,15
2,udp,ftp_data,S0,156,65,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,400,41,0.82,0.88,0.03,0.02,0.97,0.15,0.0,14,152,0.2,0.13,0.05,0.03,0.76,0.87,0.08,0.02,dos,DoS,1
1,udp,ftp,S0,486,7,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,356,90,0.97,0.91,0.0,0.05,0.96,0.02,0.28,63,240,0.87,0.0,0.82,0.09,0.77,0.74,0.08,0.07,dos,DoS,13
3985,tcp,dns,SF,2268,6835,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,163,0.06,0.07,0.03,0.06,0.79,0.05,0.09,198,252,0.73,0.16,0.17,0.23,0.07,0.07,0.09,0.01,r2l,R2L,15
52,tcp,telnet,SF,38564,30007,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,69,152,0.02,0.04,0.0,0.01,0.73,0.2,0.15,37,102,0.88,0.05,0.72,0.07,0.04,0.04,0.0,0.04,normal,Normal,4
42,tcp,ssh,SF,28024,39818,0,0,0,9,1,1,1,0,0,0,0,0,0,0,0,0,89,186,0.03,0.04,0.04,0.05,0.82,0.2,0.2,200,248,0.7,0.1,0.9,0.14,0.03,0.02,0.03,0.05,normal,Normal,20
61,tcp,smtp,SF,16367,28484,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,22,124,0.0,0.01,0.03,0.03,0.83,0.18,0.2,162,20,0.28,0.07,0.83,0.07,0.03,0.02,0.01,0.04,normal,Normal,15
13,tcp,other,SF,125,351,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,6,80,0.24,0.11,0.49,0.43,0.27,0.55,0.14,105,201,0.33,0.12,0.75,0.1,0.16,0.38,0.79,0.38,probe,Probe,8
20,tcp,ftp,SF,17865,13864,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,68,196,0.04,0.02,0.03,0.01,0.74,0.16,0.29,64,168,0.18,0.0,0.59,0.21,0.03,0.03,0.02,0.04,normal,Normal,8
14,tcp,http,SF,25008,34898,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,75,56,0.05,0.03,0.02,0.01,0.77,0.03,0.19,250,70,0.56,0.17,0.94,0.27,0.03,0.02,0.04,0.04,normal,Normal,10
2,tcp,ftp,S0,259,38,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,430,55,0.91,0.95,0.05,0.09,0.98,0.06,0.07,249,162,0.85,0.1,0.11,0.12,0.85,0.76,0.09,0.06,dos,DoS,5
13,tcp,ssh,SF,19044,37265,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,64,163,0.0,0.03,0.02,0.02,0.99,0.11,0.04,200,163,0.43,0.07,0.36,0.16,0.03,0.05,0.02,0.01,normal,Normal,7
2,tcp,ssh,S0,33,9,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,387,115,0.79,0.81,0.04,0.04,0.98,0.18,0.28,154,218,0.92,0.19,0.75,0.12,0.93,0.86,0.09,0.09,dos,DoS,6
27,tcp,ftp_data,SF,44101,23072,0,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,4,140,0.05,0.05,0.01,0.05,0.99,0.04,0.02,97,188,0.7,0.18,0.86,0.03,0.01,0.02,0.03,0.02,normal,Normal,8
1785,udp,other,S0,3579,57459,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,9,75,0.03,0.07,0.07,0.01,0.8,0.0,0.04,144,15,0.66,0.17,0.21,0.03,0.03,0.01,0.1,0.06,r2l,R2L,5
6985,udp,dns,SF,12825,14755,0,0,0,4,1,1,1,1,0,3,0,0,0,0,0,0,9,99,0.02,0.01,0.05,0.05,0.64,0.0,0.14,88,199,0.68,0.18,0.95,0.28,0.01,0.03,0.05,0.02,u2r,U2R,19
3,udp,dns,SF,129,425,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,39,36,0.39,0.25,0.45,0.74,0.15,0.51,0.01,134,3,0.63,0.06,0.22,0.07,0.47,0.21,0.53,0.55,probe,Probe,10
2,udp,other,S0,403,256,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,117,0.33,0.43,0.34,0.36,0.29,0.52,0.29,103,130,0.95,0.06,0.75,0.26,0.32,0.33,0.72,0.78,probe,Probe,9
115,tcp,other,SF,4598,34913,0,0,0,9,2,1,1,0,0,0,0,0,0,0,0,0,16,186,0.06,0.01,0.08,0.06,0.88,0.19,0.28,216,184,0.72,0.12,0.42,0.22,0.07,0.0,0.03,0.08,r2l,R2L,9
99,tcp,ftp,SF,37998,29515,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,40,60,0.02,0.0,0.03,0.04,0.9,0.04,0.23,180,206,0.82,0.03,0.71,0.13,0.03,0.02,0.01,0.03,normal,Normal,5
7,icmp,http,SF,409,172,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,45,172,0.3,0.42,0.31,0.78,0.33,0.62,0.06,13,16,0.62,0.03,0.96,0.23,0.45,0.2,0.6,0.66,probe,Probe,20
57,tcp,http,SF,39785,47473,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,42,6,0.04,0.02,0.05,0.05,0.88,0.01,0.05,240,131,0.64,0.06,0.99,0.05,0.04,0.02,0.04,0.02,normal,Normal,19
4,udp,ftp,S0,143,66,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,408,52,0.94,0.71,0.06,0.02,0.96,0.07,0.27,85,6,0.84,0.18,0.63,0.23,0.83,0.8,0.08,0.05,dos,DoS,5
3,udp,ssh,S0,971,87,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,330,152,0.99,0.97,0.03,0.05,0.92,0.05,0.22,215,29,0.55,0.04,0.09,0.1,0.95,0.85,0.07,0.04,dos,DoS,2
5009,udp,dns,SF,15279,15417,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,9,88,0.02,0.05,0.01,0.01,0.65,0.1,0.08,223,67,0.22,0.16,0.06,0.12,0.05,0.03,0.01,0.01,u2r,U2R,4
6784,udp,other,SF,13642,5569,0,0,0,6,0,1,2,0,0,3,0,0,0,0,0,0,9,72,0.03,0.02,0.05,0.04,0.54,0.09,0.04,229,44,0.66,0.14,0.99,0.02,0.01,0.03,0.0,0.01,u2r,U2R,8
68,tcp,http,SF,28530,29252,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,37,173,0.03,0.05,0.05,0.02,0.94,0.05,0.05,80,186,0.76,0.14,0.12,0.13,0.01,0.03,0.05,0.01,normal,Normal,12
2,tcp,telnet,S0,744,37,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,433,39,0.81,0.97,0.04,0.02,1.0,0.14,0.04,172,102,0.21,0.04,0.05,0.2,0.86,0.95,0.09,0.02,dos,DoS,18
4,tcp,ftp,RSTR,318,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442,62,0.92,0.82,0.02,0.1,0.99,0.18,0.04,43,135,0.69,0.17,0.56,0.0,0.7,0.99,0.04,0.08,dos,DoS,3
4809,tcp,ftp_data,SF,2924,37247,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,14,175,0.1,0.05,0.07,0.08,0.54,0.17,0.14,9,12,0.29,0.02,0.63,0.1,0.0,0.08,0.04,0.04,r2l,R2L,5
1,tcp,http,S0,702,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,321,55,0.79,0.89,0.06,0.04,0.97,0.08,0.2,204,10,0.85,0.04,0.05,0.05,0.9,0.85,0.01,0.08,dos,DoS,11
3,tcp,ssh,SF,6899,9949,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,75,85,0.03,0.03,0.0,0.03,0.71,0.11,0.26,182,81,0.94,0.13,0.87,0.21,0.02,0.03,0.04,0.04,normal,Normal,7
